,Engine CC
0,1497.169492
1,1166.142857
2,1537.406593
3,1219.653846
4,1995.777778
5,1408.055556
6,1631.5
7,1998.5
8,1279.695652
9,1480.575
10,1196.0
11,1623.793103
12,1397.8
13,1596.92
14,2283.112903
15,1835.846154
16,1498.0
17,1424.666667
18,1723.0
19,1536.0
20,1743.44186
21,1292.352941
22,1796.6
23,
24,2083.523077
25,1364.0
26,1677.949153
27,2979.0
28,1873.261538
29,2598.818182
30,1472.826087
31,1205.192982
32,
33,2425.428571
34,2521.092437
35,1820.65625
36,1136.692308
37,1186.333333
38,1699.119048
39,1847.666667
40,1462.3625
41,1462.3625
42,1462.3625
43,1462.3625
44,1498.25
45,2261.193548
46,2261.193548
47,1963.666667
48,998.0
49,998.0
50,998.0
51,998.0
52,2790.454545
53,998.0
54,
55,1348.285714
56,1615.370787
57,1998.0
58,1470.909091
59,2151.647059
60,1718.571429
61,2095.185185
62,1028.923077
63,1180.545455
64,1855.0
65,
66,1482.5
67,1905.631579
68,2011.555556
69,1920.026316
70,1496.0
71,1095.777778
72,1515.282051
73,1698.64
74,1366.294118
75,1366.294118
76,1971.163636
77,1367.272727
78,1528.807692
79,1475.0
80,998.0
81,1448.6
82,2994.666667
83,999.0
84,1310.0
85,1460.795455
86,2043.820513
87,1424.857143
88,1774.8125
89,3041.0
90,2106.5
91,1928.714286
92,1452.0
93,996.0
94,1933.021739
95,1052.272727
96,2748.333333
97,1886.555556
98,2876.0
99,1634.2
100,2178.192308
101,1382.75
102,1387.621622
103,1997.0
104,1377.566265
105,1374.046512
106,1981.818182
107,2488.0
108,1797.4
109,2934.631579
110,2106.5
111,1650.205128
112,1969.0
113,1805.924528
114,1921.46789
115,2396.4
116,1663.928571
117,1545.428571
118,592.5625
119,1891.588235
120,1853.9
121,3005.4
122,2813.0
123,1757.6
124,2031.469388
125,1861.833333
126,1854.2
127,2242.636364
128,1241.857143
129,1969.0
130,1410.357143
131,1298.666667
132,1729.333333
133,2719.842105
134,2048.666667
135,2778.0
136,1994.0
137,999.0
138,1372.666667
139,850.2727273
140,3071.0
141,1090.4
142,1352.576923
143,1683.607843
144,935.625
145,1837.363636
146,1750.615385
147,5000.0
148,1774.778947
149,2093.021739
150,1479.0
151,1373.75
152,2222.710526
153,1926.0
154,1391.023256
155,1622.681818
156,1587.222222
157,1746.944444
158,1798.0
159,1197.0
160,1586.0
161,1755.75
162,2048.538462
163,1596.92
164,1534.392857
165,1995.0
166,1452.3
167,2967.0
168,1108.0
169,1592.0
170,1466.307692
171,1863.133333
172,2976.333333
173,1802.774194
174,1794.0
175,2998.0
176,1754.4
177,1986.766667
178,1336.666667
179,958.6
180,1709.538462
181,1523.741935
182,1740.0
183,3999.0
184,2238.631579
185,1599.0
186,1152.888889
187,6208.0
188,1406.0
189,2234.4
190,2323.9375
191,1272.4375
192,1144.8
193,2239.666667
194,1308.285714
195,1330.4
196,2174.037037
197,1624.769231
198,2084.37931
199,3295.0
200,2081.375
201,2979.0
202,1047.75
203,1353.363636
204,2085.055556
205,996.0
206,1914.714286
207,1183.25
208,868.3333333
209,1509.75
210,1597.0
211,1518.0
212,2697.368421
213,1817.315789
214,1773.7
215,1612.928571
216,2548.833333
217,2313.666667
218,2304.97561
219,1384.0
220,335.0
221,1498.0
222,679.0
223,1495.0
224,1791.230769
225,1753.0
226,2981.0
227,285.0
228,999.0
229,1523.333333
230,5577.8
231,2460.75
232,2588.6
233,1430.75
234,2208.090909
235,1288.5
236,2316.0
237,1324.357143
238,1552.0
239,2294.764706
240,1329.0
241,1984.0
242,2276.0
243,1506.5
244,160.0
245,2027.833333
246,1950.90625
247,898.0
248,2053.0
249,1294.142857
250,1998.0
251,3071.0
252,4123.5
253,2972.307692
254,1339.0
255,1332.0
256,1798.0
257,1407.333333
258,1642.04878
259,1982.756098
260,1642.333333
261,3498.0
262,1428.4
263,1997.0
264,2284.133333
265,2117.6
266,1775.777778
267,1972.8125
268,1938.0
269,1703.153846
270,1969.0
271,1615.333333
272,3764.333333
273,3344.75
274,2331.333333
275,1911.75
276,2526.5
277,1695.0
278,1405.0
279,1742.6
280,1730.0
281,2362.0
282,698.0
283,5341.0
284,1647.4
285,1706.333333
286,1925.25
287,1329.0
288,999.0
289,2967.0
290,1773.0
291,1039.5
292,1968.0
293,2696.5
294,1688.25
295,1998.0
296,2309.340426
297,2019.75
298,1836.5
299,5935.0
300,2247.333333
301,1995.0
302,3100.333333
303,4395.0
304,2126.8
305,1242.0
306,3740.0
307,1235.428571
308,2378.0
309,3199.0
310,1497.0
311,3377.444444
312,1833.0
313,1344.823529
314,2050.333333
315,1827.8
316,2315.0
317,1998.0
318,1977.166667
319,1424.727273
320,1997.142857
321,2336.52
322,2981.0
323,1304.0
324,1817.315789
325,2116.0
326,1864.8
327,1586.0
328,2679.285714
329,2734.5
330,1655.741935
331,2287.6
332,2309.0
333,899.0
334,2127.333333
335,1360.0
336,2093.021739
337,1741.0
338,1363.5
339,1832.888889
340,3196.555556
341,1262.157895
342,2344.0
343,1998.0
344,3498.0
345,1735.580645
346,2308.285714
347,2417.875
348,2245.6
349,3106.666667
350,2167.5
351,1594.0
352,1591.0
353,2953.588235
354,1809.714286
355,4857.0
356,1261.25
357,1284.8
358,3228.0
359,1781.0
360,2998.0
361,1836.875
362,1908.166667
363,1707.125
364,3307.25
365,1298.0
366,1343.0
367,0.0
368,1684.304348
369,2309.340426
370,2634.222222
371,3456.0
372,2614.0
373,1998.0
374,2254.0
375,1773.823529
376,2184.0
377,2521.092437
378,4089.923077
379,998.0
380,1906.181818
381,2118.940476
382,2326.358974
383,1360.0
384,3696.0
385,4493.5
386,1998.0
387,2393.0
388,3358.666667
389,3456.0
390,1721.5
391,4691.0
392,2458.909091
393,1998.0
394,3640.2
395,1431.333333
396,1980.634146
397,320.0
398,1549.8
399,5733.0
400,1962.058824
401,1574.428571
402,3799.0
403,1832.333333
404,1998.0
405,1642.875
406,2349.08
407,1698.75
408,2144.0
409,2244.0
410,1497.169492
411,1166.142857
412,1537.406593
413,1219.653846
414,1995.777778
415,1408.055556
416,1631.5
417,1998.5
418,1279.695652
419,1623.793103
420,1196.0
421,1480.575
422,1397.8
423,1596.92
424,1835.846154
425,2283.112903
426,1723.0
427,1743.44186
428,1536.0
429,1498.0
430,1424.666667
431,1677.949153
432,1292.352941
433,2083.523077
434,1364.0
435,1796.6
436,1873.261538
437,2979.0
438,2425.428571
439,1472.826087
440,2598.818182
441,1847.666667
442,1205.192982
443,1136.692308
444,1699.119048
445,2521.092437
446,1963.666667
447,2261.193548
448,1462.3625
449,1698.64
