,Female
0,422731
1,631666
2,310604
3,312556
4,115843
5,299110
6,250614
7,"69,603"
8,253000
9,132958
10,269428
11,156607
12,214944
13,"69,373"
14,"59,936"
15,"48,599"
16,136875
17,"97,033"
18,108991
19,138839
20,"87,029"
21,"87,532"
22,"87,660"
23,
24,"59,369"
25,"98,254"
26,"67,184"
27,"21,302"
28,"29,728"
29,"24,029"
30,"62,467"
31,"73,895"
32,
33,"29,981"
34,"34,079"
35,"56,539"
36,"25,662"
37,102113
38,"68,928"
39,"44,706"
40,"42,130"
41,"42,130"
42,"42,130"
43,"42,130"
44,"87,974"
45,"54,005"
46,"54,005"
47,"27,948"
48,"73,891"
49,"66,147"
50,"63,346"
51,"63,346"
52,"15,146"
53,"64,725"
54,
55,"41,756"
56,"30,221"
57,"13,946"
58,"41,027"
59,"15,889"
60,"39,519"
61,"17,216"
62,"57,228"
63,"49,829"
64,"24,893"
65,
66,"36,010"
67,"32,724"
68,"37,950"
69,"16,346"
70,"51,314"
71,"42,772"
72,"30,032"
73,"26,596"
74,"35,920"
75,
76,"14,323"
77,"33,281"
78,"24,181"
79,"48,750"
80,"28,881"
81,"22,899"
82,"14,588"
83,"32,045"
84,"23,094"
85,"20,296"
86,"9,985"
87,"31,656"
88,"14,753"
89,"16,438"
90,"13,625"
91,"8,060"
92,"16,005"
93,"30,777"
94,"11,421"
95,"26,745"
96,"25,424"
97,"17,823"
98,"13,819"
99,"17,864"
100,"8,990"
101,"27,977"
102,"18,187"
103,"4,860"
104,"29,771"
105,"25,109"
106,"9,131"
107,"16,836"
108,"10,848"
109,"5,033"
110,"11,687"
111,"10,678"
112,"12,860"
113,"6,565"
114,"10,836"
115,"13,661"
116,"14,542"
117,"15,501"
118,"16,848"
119,"7,942"
120,"8,533"
121,"3,418"
122,"2,641"
123,"5,965"
124,"5,562"
125,"8,349"
126,"7,747"
127,"9,212"
128,"17,430"
129,"4,913"
130,"17,367"
131,"15,260"
132,"9,964"
133,"9,318"
134,"7,821"
135,"8,462"
136,"10,492"
137,"17,894"
138,"12,767"
139,"17,374"
140,"6,312"
141,"12,804"
142,"8,974"
143,"9,404"
144,"14,037"
145,"8,974"
146,"6,728"
147,"3,013"
148,"9,495"
149,"9,639"
150,"8,849"
151,"12,512"
152,"2,239"
153,"7,991"
154,"7,486"
155,"8,561"
156,"4,610"
157,"5,610"
158,"5,657"
159,"10,103"
160,"9,035"
161,"6,193"
162,"6,588"
163,"2,550"
164,"5,531"
165,"5,511"
166,"5,800"
167,"4,973"
168,"10,570"
169,"2,367"
170,"7,015"
171,"7,442"
172,"4,579"
173,"5,743"
174,"5,595"
175,"1,519"
176,"6,485"
177,"2,261"
178,"10,468"
179,"10,447"
180,"3,703"
181,"4,440"
182,"9,047"
183,"1,383"
184,"6,366"
185,"6,321"
186,"8,634"
187,"3,121"
188,"7,685"
189,"5,143"
190,"4,642"
191,"5,670"
192,"7,977"
193,"3,863"
194,"7,546"
195,"6,839"
196,"3,053"
197,"4,687"
198,"2,989"
199,"3,418"
200,"2,428"
201,"1,708"
202,"7,685"
203,"6,758"
204,"3,970"
205,"8,094"
206,"5,292"
207,"7,106"
208,"4,739"
209,"5,303"
210,"9,672"
211,"4,375"
212,"3,027"
213,"4,690"
214,"3,084"
215,"3,942"
216,"1,541"
217,"5,405"
218,"2,167"
219,"6,549"
220,"2,277"
221,"4,377"
222,"5,197"
223,"5,230"
224,"2,453"
225,"3,615"
226,749
227,"4,181"
228,"4,960"
229,"3,467"
230,"1,024"
231,"2,875"
232,"2,239"
233,"2,841"
234,"2,050"
235,"3,496"
236,"1,547"
237,"2,009"
238,"3,351"
239,"1,438"
240,"2,986"
241,"1,345"
242,"1,024"
243,"3,305"
244,"4,251"
245,"2,619"
246,"1,753"
247,"3,269"
248,"2,435"
249,"2,622"
250,"2,546"
251,"1,082"
252,767
253,"1,175"
254,"2,144"
255,"2,180"
256,"2,112"
257,"3,340"
258,919
259,"1,192"
260,"3,135"
261,800
262,"2,953"
263,"1,201"
264,"1,082"
265,"1,926"
266,"2,138"
267,989
268,"1,990"
269,"1,837"
270,"1,290"
271,"2,067"
272,692
273,"1,148"
274,"1,324"
275,"1,839"
276,"1,123"
277,"2,110"
278,"2,603"
279,"1,779"
280,462
281,933
282,"1,462"
283,359
284,742
285,"1,045"
286,659
287,"2,036"
288,"2,445"
289,401
290,747
291,"1,697"
292,867
293,"1,027"
294,"1,292"
295,"1,134"
296,722
297,"1,092"
298,405
299,305
300,670
301,"1,184"
302,805
303,201
304,663
305,"1,492"
306,278
307,"1,574"
308,"1,035"
309,"1,076"
310,"1,241"
311,857
312,"1,002"
313,"1,409"
314,809
315,743
316,406
317,789
318,414
319,"1,999"
320,716
321,400
322,349
323,991
324,832
325,530
326,259
327,"1,249"
328,362
329,246
330,735
331,754
332,665
333,"1,150"
334,449
335,907
336,"1,067"
337,711
338,816
339,751
340,252
341,967
342,364
343,422
344,655
345,622
346,716
347,536
348,354
349,552
350,486
351,595
352,881
353,350
354,346
355,155
356,"1,361"
357,421
358,170
359,196
360,188
361,418
