,Fuel
0,petrol
1,petrol
2,petrol
3,petrol
4,petrol
5,petrol
6,petrol
7,petrol
8,petrol
9,petrol
10,petrol
11,petrol
12,petrol
13,petrol
14,petrol
15,petrol
16,petrol
17,petrol
18,petrol
19,petrol
20,petrol
21,petrol
22,petrol
23,
24,diesel
25,petrol
26,petrol
27,petrol
28,petrol
29,petrol
30,diesel
31,petrol
32,
33,diesel
34,diesel
35,diesel
36,petrol
37,diesel
38,petrol
39,petrol
40,petrol
41,petrol
42,petrol
43,petrol
44,petrol
45,petrol
46,petrol
47,petrol
48,petrol
49,petrol
50,petrol
51,petrol
52,diesel
53,petrol
54,
55,diesel
56,petrol
57,petrol
58,petrol
59,petrol
60,petrol
61,petrol
62,petrol
63,petrol
64,diesel
65,
66,petrol
67,peatrol
68,petrol
69,diesel
70,petrol
71,petrol
72,petrol
73,petrol
74,petrol
75,
76,diesel
77,petrol
78,diesel
79,petrol
80,petrol
81,petrol
82,diesel
83,petrol
84,petrol
85,petrol
86,peatrol
87,petrol
88,diesel
89,petrol
90,petrol
91,petrol
92,diesel
93,petrol
94,petrol
95,peatrol
96,petrol
97,diesel
98,diesel
99,diesel
100,diesel
101,petrol
102,petrol
103,diesel
104,petrol
105,petrol
106,petrol
107,petrol
108,petrol
109,petrol
110,petrol
111,petrol
112,petrol
113,diesel
114,peatrol
115,petrol
116,petrol
117,diesel
118,automatic
119,petrol
120,petrol
121,petrol
122,petrol
123,petrol
124,petrol
125,petrol
126,diesel
127,diasel
128,peatrol
129,petrol
130,petrol
131,petrol
132,petrol
133,diasel
134,petrol
135,petrol
136,petrol
137,petrol
138,petrol
139,petrol
140,petrol
141,petrol
142,petrol
143,petrol
144,petrol
145,petrol
146,petrol
147,petrol
148,diasel
149,petrol
150,petrol
151,petrol
152,diesel
153,diasel
154,diesel
155,petrol
156,petrol
157,petrol
158,petrol
159,petrol
160,petrol
161,petrol
162,diesel
163,petrol
164,diesel
165,petrol
166,petrol
167,diesel
168,petrol
169,petrol
170,petrol
171,diesel
172,diesel
173,petrol
174,petrol
175,petrol
176,petrol
177,diesel
178,petrol
179,petrol
180,petrol
181,diesel
182,petrol
183,petrol
184,petrol
185,petrol
186,petrol
187,petrol
188,petrol
189,petrol
190,petrol
191,petrol
192,petrol
193,petrol
194,petrol
195,petrol
196,diesel
197,petrol
198,petrol
199,petrol
200,petrol
201,petrol
202,petrol
203,petrol
204,petrol
205,petrol
206,petrol
207,petrol
208,petrol
209,petrol
210,petrol
211,petrol
212,diesel
213,petrol
214,petrol
215,petrol
216,petrol
217,petrol
218,diesel
219,petrol
220,autometic
221,petrol
222,petrol
223,petrol
224,petrol
225,petrol
226,petrol
227,autometic
228,petrol
229,petrol
230,petrol
231,petrol
232,diesel
233,petrol
234,petrol
235,petrol
236,petrol
237,petrol
238,petrol
239,petrol
240,petrol
241,petrol
242,diesel
243,petrol
244,automatic
245,petrol
246,petrol
247,petrol
248,diesel
249,petrol
250,petrol
251,petrol
252,petrol
253,petrol
254,petrol
255,petrol
256,petrol
257,petrol
258,diesel
259,petrol
260,petrol
261,petrol
262,petrol
263,petrol
264,petrol
265,petrol
266,petrol
267,petrol
268,petrol
269,petrol
270,diesel
271,petrol
272,petrol
273,petrol
274,petrol
275,petrol
276,petrol
277,petrol
278,petrol
279,petrol
280,petrol
281,petrol
282,petrol
283,petrol
284,diesel
285,petrol
286,petrol
287,petrol
288,petrol
289,diesel
290,petrol
291,petrol
292,diesel
293,petrol
294,petrol
295,petrol
296,diesel
297,petrol
298,petrol
299,petrol
300,petrol
301,petrol
302,diesel
303,petrol
304,petrol
305,petrol
306,petrol
307,petrol
308,petrol
309,petrol
310,petrol
311,petrol
312,petrol
313,diesel
314,petrol
315,petrol
316,petrol
317,diesel
318,diesel
319,petrol
320,diesel
321,petrol
322,petrol
323,petrol
324,petrol
325,petrol
326,petrol
327,petrol
328,petrol
329,petrol
330,petrol
331,petrol
332,petrol
333,petrol
334,petrol
335,petrol
336,petrol
337,petrol
338,petrol
339,petrol
340,petrol
341,petrol
342,petrol
343,petrol
344,petrol
345,diesel
346,petrol
347,diesel
348,petrol
349,diesel
350,petrol
351,petrol
352,petrol
353,diesel
354,diesel
355,petrol
356,petrol
357,petrol
358,petrol
359,petrol
360,petrol
361,petrol
362,petrol
363,petrol
364,petrol
365,petrol
366,petrol
367,petrol
368,petrol
369,diesel
370,petrol
371,petrol
372,petrol
373,petrol
374,petrol
375,diesel
376,diesel
377,diesel
378,petrol
379,petrol
380,diesel
381,diesel
382,petrol
383,petrol
384,petrol
385,petrol
386,petrol
387,diesel
388,petrol
389,petrol
390,petrol
391,petrol
392,petrol
393,diesel
394,petrol
395,petrol
396,petrol
397,automatic
398,petrol
399,petrol
400,diesel
401,petrol
402,petrol
403,diesel
404,diesel
405,petrol
406,petrol
407,petrol
408,petrol
409,petrol
410,petrol
411,petrol
412,petrol
413,petrol
414,petrol
415,petrol
416,petrol
417,petrol
418,petrol
419,petrol
420,petrol
421,petrol
422,petrol
423,petrol
424,petrol
425,petrol
426,petrol
427,petrol
428,petrol
429,petrol
430,petrol
431,petrol
432,petrol
433,diesel
434,petrol
435,petrol
436,petrol
437,petrol
438,diesel
439,diesel
440,petrol
441,petrol
442,petrol
443,petrol
444,petrol
445,diesel
446,petrol
447,petrol
448,petrol
449,petrol
450,diesel
451,diesel
452,petrol
453,petrol
454,diesel
455,diesel
456,petrol
457,petrol
458,petrol
459,petrol
460,diesel
461,petrol
462,petrol
463,petrol
464,petrol
465,petrol
466,diesel
467,petrol
468,petrol
469,petrol
470,petrol
471,diesel
472,petrol
473,petrol
474,petrol
475,petrol
476,petrol
477,petrol
478,petrol
479,petrol
480,petrol
481,petrol
482,diesel
483,petrol
484,petrol
485,diesel
486,petrol
487,petrol
488,petrol
489,diesel
490,diesel
491,diesel
492,petrol
493,petrol
494,petrol
495,diesel
496,petrol
497,petrol
498,petrol
499,petrol
500,diesel
501,diesel
502,petrol
503,petrol
504,petrol
505,petrol
506,petrol
507,petrol
508,petrol
509,diesel
510,petrol
511,diesel
512,petrol
513,petrol
514,petrol
515,petrol
516,petrol
517,petrol
518,petrol
519,petrol
520,petrol
521,petrol
522,diesel
523,petrol
524,petrol
525,petrol
526,diesel
527,petrol
528,automatic
529,diesel
530,diesel
531,petrol
532,petrol
533,petrol
534,petrol
535,petrol
536,petrol
537,petrol
538,petrol
539,petrol
540,petrol
541,petrol
542,petrol
543,petrol
544,petrol
545,diesel
546,petrol
547,diesel
548,petrol
549,diesel
550,petrol
551,petrol
552,petrol
553,petrol
554,petrol
555,petrol
556,petrol
557,petrol
558,petrol
559,petrol
560,petrol
561,petrol
562,diesel
563,diesel
564,petrol
565,diesel
566,petrol
567,petrol
568,petrol
569,petrol
570,petrol
571,petrol
572,petrol
573,petrol
574,petrol
575,petrol
576,petrol
577,diesel
578,petrol
579,petrol
580,petrol
581,petrol
582,petrol
583,diesel
584,petrol
585,petrol
586,petrol
587,petrol
588,diesel
589,petrol
590,petrol
591,diesel
592,petrol
593,petrol
594,petrol
595,petrol
596,diesel
597,petrol
598,diesel
599,automatic
600,petrol
601,petrol
602,petrol
603,petrol
604,petrol
605,petrol
606,diesel
607,petrol
608,petrol
609,petrol
610,petrol
611,diesel
612,petrol
613,petrol
614,petrol
615,petrol
616,petrol
617,petrol
618,petrol
619,petrol
620,petrol
621,petrol
622,petrol
623,petrol
624,petrol
625,petrol
626,petrol
627,petrol
628,petrol
629,petrol
630,petrol
631,petrol
632,petrol
633,petrol
634,petrol
635,petrol
636,petrol
637,diesel
638,petrol
639,petrol
640,diesel
641,petrol
642,petrol
643,automatic
644,automatic
645,diesel
646,petrol
647,petrol
648,petrol
649,petrol
650,petrol
651,petrol
652,petrol
653,petrol
654,petrol
655,petrol
656,petrol
657,petrol
658,petrol
659,petrol
660,petrol
661,petrol
662,petrol
663,petrol
664,petrol
665,petrol
666,petrol
667,petrol
668,petrol
669,petrol
670,petrol
671,petrol
672,petrol
673,petrol
674,petrol
675,petrol
676,petrol
677,petrol
678,petrol
679,petrol
680,petrol
681,petrol
682,petrol
683,petrol
684,petrol
685,petrol
686,petrol
687,petrol
688,petrol
689,petrol
690,petrol
691,petrol
692,diesel
693,diesel
694,petrol
695,petrol
696,petrol
697,petrol
698,petrol
699,petrol
700,petrol
701,petrol
702,petrol
703,petrol
704,diesel
705,petrol
706,diesel
707,petrol
708,diesel
709,petrol
710,petrol
711,petrol
712,diesel
713,petrol
714,petrol
715,petrol
716,diesel
717,petrol
718,petrol
719,diesel
720,petrol
721,petrol
722,petrol
723,petrol
724,petrol
725,petrol
726,petrol
727,petrol
728,petrol
729,petrol
730,petrol
731,petrol
732,petrol
733,diesel
734,diesel
735,petrol
736,petrol
737,petrol
738,diesel
739,petrol
740,petrol
741,petrol
742,diesel
743,petrol
744,petrol
745,diesel
746,petrol
747,petrol
748,petrol
749,petrol
750,petrol
751,petrol
752,diesel
753,petrol
754,petrol
755,petrol
756,petrol
757,diesel
758,diesel
759,petrol
760,petrol
761,petrol
762,diesel
763,diesel
764,petrol
765,petrol
766,diesel
767,petrol
768,petrol
769,diesel
770,petrol
771,petrol
772,petrol
773,petrol
774,diesel
775,petrol
776,petrol
777,petrol
778,petrol
779,petrol
780,petrol
781,petrol
782,petrol
783,petrol
784,petrol
785,petrol
786,petrol
787,petrol
788,petrol
789,petrol
790,petrol
791,petrol
792,petrol
793,diesel
794,diesel
795,petrol
796,petrol
797,petrol
798,petrol
799,diesel
800,petrol
801,petrol
802,petrol
803,petrol
804,petrol
805,petrol
806,petrol
807,petrol
808,petrol
809,petrol
810,petrol
811,petrol
812,petrol
813,petrol
814,petrol
815,petrol
816,petrol
817,petrol
818,petrol
819,petrol
820,petrol
821,petrol
822,petrol
823,petrol
824,petrol
825,petrol
826,petrol
827,diesel
828,petrol
829,petrol
830,petrol
831,petrol
832,diesel
833,diesel
834,petrol
835,petrol
836,petrol
837,petrol
838,petrol
839,petrol
840,petrol
841,petrol
842,diesel
843,petrol
844,petrol
845,petrol
846,diesel
847,petrol
848,petrol
849,petrol
850,petrol
851,diesel
