,Male
0,814172
1,554879
2,483216
3,241287
4,408016
5,216333
6,178698
7,357452
8,143218
9,242188
10,102708
11,209379
12,137907
13,209476
14,202037
15,211510
16,105551
17,144962
18,132728
19,"99,472"
20,145377
21,109408
22,103719
23,
24,118279
25,"78,551"
26,104996
27,138584
28,123806
29,125070
30,"85,989"
31,"74,717"
32,
33,112207
34,107520
35,"79,290"
36,110428
37,"30,349"
38,"55,510"
39,"78,034"
40,"79,604"
41,"79,604"
42,"79,604"
43,"79,604"
44,"29,548"
45,"59,395"
46,"59,395"
47,"84,741"
48,"32,821"
49,"33,395"
50,"39,242"
51,"39,242"
52,"85,861"
53,"36,803"
54,
55,"54,195"
56,"65,505"
57,"79,176"
58,"51,517"
59,"74,157"
60,"47,900"
61,"71,632"
62,"30,691"
63,"34,918"
64,"60,515"
65,
66,"50,045"
67,"52,309"
68,"45,707"
69,"66,613"
70,"29,852"
71,"34,789"
72,"47,251"
73,"50,801"
74,"41,148"
75,"41,148"
76,"59,903"
77,"38,039"
78,"41,330"
79,"16,475"
80,"36,610"
81,"39,067"
82,"45,819"
83,"24,663"
84,"34,682"
85,"37,398"
86,"46,504"
87,"24,389"
88,"41,540"
89,"38,415"
90,"41,358"
91,"46,997"
92,"37,450"
93,"21,062"
94,"41,096"
95,"26,734"
96,"24,741"
97,"31,973"
98,"35,260"
99,"32,328"
100,"40,589"
101,"21,142"
102,"31,244"
103,"43,857"
104,"17,678"
105,"20,915"
106,"35,411"
107,"27,761"
108,"29,616"
109,"36,990"
110,"29,574"
111,"31,223"
112,"26,579"
113,"33,777"
114,"28,059"
115,"24,013"
116,"23,104"
117,"19,092"
118,"17,738"
119,"26,706"
120,"25,441"
121,"29,960"
122,"30,739"
123,"27,537"
124,"26,909"
125,"23,509"
126,"23,214"
127,"22,644"
128,"13,875"
129,"25,331"
130,"13,057"
131,"13,701"
132,"19,477"
133,"19,359"
134,"20,969"
135,"19,343"
136,"17,725"
137,"10,220"
138,"14,101"
139,"9,404"
140,"20,033"
141,"12,629"
142,"17,213"
143,"15,999"
144,"11,079"
145,"15,843"
146,"17,313"
147,"20,604"
148,"14,157"
149,"13,551"
150,"13,520"
151,"8,828"
152,"18,660"
153,"13,708"
154,"13,273"
155,"12,385"
156,"16,259"
157,"14,659"
158,"14,370"
159,"9,623"
160,"10,925"
161,"13,424"
162,"12,761"
163,"16,634"
164,"13,570"
165,"13,236"
166,"13,365"
167,"14,059"
168,"7,901"
169,"16,399"
170,"11,663"
171,"10,717"
172,"13,244"
173,"11,552"
174,"11,658"
175,"15,286"
176,"10,315"
177,"14,400"
178,"6,154"
179,"6,015"
180,"12,773"
181,"11,730"
182,"6,660"
183,"14,930"
184,"9,477"
185,"9,531"
186,"6,539"
187,"12,431"
188,"7,516"
189,"9,579"
190,"10,078"
191,"9,000"
192,"6,376"
193,"10,252"
194,"6,266"
195,"6,945"
196,"10,247"
197,"9,004"
198,"10,398"
199,"10,034"
200,"10,882"
201,"11,265"
202,"5,142"
203,"6,012"
204,"8,910"
205,"4,700"
206,"7,167"
207,"5,141"
208,"7,690"
209,"7,343"
210,"2,304"
211,"7,729"
212,"9,143"
213,"7,314"
214,"9,003"
215,"8,102"
216,"10,660"
217,"6,065"
218,"9,293"
219,"4,800"
220,"8,948"
221,"6,436"
222,"4,946"
223,"4,903"
224,"7,738"
225,"6,043"
226,"8,781"
227,"5,504"
228,"3,867"
229,"5,205"
230,"7,602"
231,"5,701"
232,"6,393"
233,"5,690"
234,"6,096"
235,"5,001"
236,"6,659"
237,"6,234"
238,"5,033"
