,Power
0,-94.03389831
1,68.57142857
2,-89.46153846
3,75.57692308
4,126.1111111
5,60.96296296
6,71.33333333
7,130.25
8,67.95652174
9,106.225
10,60.8
11,87.31034483
12,74.4
13,131.6
14,149.7096774
15,125.4358974
16,80.0
17,94.33333333
18,86.45454545
19,79.76666667
20,72.58139535
21,66.97058824
22,104.2
23,
24,105.1692308
25,75.64864865
26,91.61016949
27,225.0
28,103.6769231
29,192.4
30,89.34782609
31,76.31578947
32,
33,182.5714286
34,196.3361345
35,97.71875
36,95.0
37,74.73333333
38,93.01190476
39,81.66666667
40,90.625
41,0.12
42,70600.12
43,80120.12
44,68.75
45,137.7741935
46,5370354.7741935
47,145.0
48,50.0
49,53.0
50,51.77777778
51,517777.7778
52,199.7272727
53,52.84615385
54,
55,66.42857143
56,114.8202247
57,167.25
58,61.27272727
59,117.7058824
60,103.4285714
61,118.1851852
62,52.38461538
63,68.90909091
64,124.8571429
65,
66,103.1086957
67,101.8947368
68,178.5555556
69,99.0
70,64.625
71,52.44444444
72,85.69230769
73,67.0
74,53.88235294
75,
76,135.2909091
77,53.81818182
78,94.03846154
79,112.75
80,80.0
81,99.0
82,246.3333333
83,86.0
84,85.71428571
85,88.09090909
86,92.82051282
87,69.0
88,113.375
89,166.3157895
90,113.3529412
91,98.04761905
92,85.28
93,50.0
94,93.58695652
95,70.72727273
96,184.1666667
97,128.8888889
98,188.3333333
99,115.3
100,114.6538462
101,64.0
102,100.5945946
103,176.25
104,86.63855422
105,73.48837209
106,150.4545455
107,165.0
108,96.0
109,172.3157895
110,113.3529412
111,63.56410256
112,213.1538462
113,104.2264151
114,117.4311927
115,184.0
116,108.0
117,105.7142857
118,55.375
119,78.85294118
120,84.2
121,293.5333333
122,223.5454545
123,97.6
124,146.122449
125,109.6666667
126,114.0
127,144.6363636
128,73.23809524
129,223.8333333
130,81.28571429
131,70.33333333
132,92.33333333
133,117.5789474
134,151.6666667
135,202.125
136,74.0
137,51.375
138,67.0
139,40.81818182
140,213.5
141,50.0
142,114.2692308
143,70.92156863
144,94.0625
145,92.36363636
146,120.1538462
147,283.0
148,96.05263158
149,113.2826087
150,75.4
151,47.75
152,104.2017544
153,113.84
154,67.02325581
155,75.09090909
156,96.92592593
157,115.8333333
158,166.0
159,61.0
160,88.0
161,105.875
162,144.2307692
163,131.6
164,82.25
165,110.0
166,83.5
167,190.0
168,40.0
169,110.0
170,92.30769231
171,123.9333333
172,210.0
173,95.09677419
174,103.0
175,250.0
176,98.2
177,138.2833333
178,48.66666667
179,59.6
180,90.88461538
181,79.30645161
182,113.8
183,309.0
184,109.1052632
185,76.0
186,58.44444444
187,420.0
188,55.0
189,115.0
190,126.5
191,68.875
192,55.4
193,105.0
194,53.0
195,69.6
196,148.5185185
197,111.3076923
198,107.3793103
199,326.0
200,116.2916667
201,235.0
202,52.5
203,64.45454545
204,120.3333333
205,50.0
206,103.0
207,59.875
208,33.33333333
209,81.16666667
210,70.0
211,48.0
212,97.57894737
213,82.15789474
214,82.2
215,80.42857143
216,128.5
217,131.6666667
218,207.6097561
219,47.45454545
220,105.0
221,96.0
222,35.8
