,Price
0,30.61932203
1,18.53214286
2,31.24215385
3,22.1
4,47.84837037
5,18.1925
6,20.03375
7,39.97375
8,20.3776087
9,29.942625
10,15.46
11,26.4498867
12,20.7206
13,46.5274
14,57.92693548
15,46.06451282
16,26.3525
17,36.21929825
18,27.46483636
19,21.70216667
20,22.36209302
21,19.00794118
22,37.4265
23,
24,43.86363077
25,22.90364865
26,27.23911864
27,93.71425
28,37.31523077
29,78.07322727
30,32.06304348
31,19.93814035
32,
33,107.4521429
34,107.6705126
35,34.93603125
36,30.65053846
37,26.29166667
38,31.1045119
39,22.78208333
40,29.26025
41,290050.26025
42,2.26025
43,3.56025
44,24.09525
45,43.54851613
46,4.354851613
47,49.28583333
48,11.14333333
49,15.20916667
50,16.011
51,1.6011
52,82.06090909
53,16.59192308
54,
55,19.31857143
56,32.93965169
57,65.56875
58,19.37890909
59,39.39984314
60,37.46857143
61,42.66935185
62,13.48615385
63,19.08518182
64,53.78571429
65,
66,32.33086957
67,30.99513158
68,64.59222222
69,34.02059211
70,21.6
71,10.42388889
72,26.97346154
73,18.64264
74,12.35588235
75,
76,50.96109091
77,12.32981818
78,32.98557692
79,33.25025
80,22.95871429
81,32.1815
82,113.2693333
83,28.23090909
84,26.803
85,26.97522727
86,28.60820513
87,13.63642857
88,47.361875
89,72.79589474
90,35.28132353
91,39.35238095
92,27.4386
93,9.5628
94,26.51269565
95,21.847
96,61.86283333
97,47.52333333
98,77.41666667
99,43.97
100,38.72769231
101,15.14
102,28.60918919
103,78.74625
104,27.08277108
105,17.03876744
106,59.43242424
107,38.7525
108,33.798
109,66.58842105
110,36.52419118
111,16.20874359
112,85.82946154
113,34.9090566
114,35.81481651
115,76.5922
116,44.30857143
117,41.38957143
118,19.9680625
119,25.39952941
120,23.322
121,158.7922667
122,137.5695455
123,30.5976
124,52.95719388
125,31.5255
126,45.6995
127,44.14181818
128,22.84857143
129,52.085
130,23.35964286
131,17.82333333
132,21.02333333
133,39.70773684
134,36.01325
135,64.109625
136,17.182
137,17.065625
138,25.94322222
139,9.492272727
140,83.50125
141,9.8628
142,40.98307692
143,17.34364706
144,30.3775
145,22.77681818
146,33.70615385
147,145.6466667
148,27.13
149,32.4898913
150,14.293
151,13.88308333
152,43.06842105
153,38.9
154,18.76848837
155,22.12540909
156,31.30566667
157,49.82277778
158,59.0
159,19.45142857
160,20.6695
161,31.195
162,64.50769231
163,46.5274
164,20.36464286
165,51.646
166,30.351
167,94.098125
168,8.17
169,39.725
170,22.455
171,51.44133333
172,106.5488889
173,25.3433871
174,34.19
175,115.533
176,32.09
177,50.94
178,12.49833333
179,14.94
180,23.01661538
181,25.17006452
182,42.2862
183,135.1055
184,29.88478947
185,18.513
186,17.31777778
187,264.675
188,23.0525
189,39.7374
190,52.19640625
191,20.9225
192,13.1466
193,43.08
194,11.389
195,18.615
196,58.46907407
197,41.59161538
198,37.52210345
199,158.976
200,32.898125
201,114.8758333
202,11.395
203,14.22409091
204,37.44666667
205,9.465666667
206,33.12857143
207,14.333375
208,7.92
209,23.58666667
210,26.0
211,11.370625
212,37.01736842
213,23.16515789
214,22.69
215,18.76285714
216,42.74666667
217,42.5595
218,108.7471951
219,13.70454545
220,30.99
221,32.723
222,13.2053
223,26.19775
224,17.44569231
225,25.2075
226,116.545
227,33.495
228,12.6825
229,18.88233333
230,285.247
231,55.62
232,60.9552
233,13.11525
234,37.00904545
235,22.91875
236,30.236875
237,20.37
238,27.4066
239,36.38445588
240,22.047
241,60.87
242,43.26150943
243,13.24516667
244,24.674
245,45.59125
246,20.7195
247,14.04
248,45.76307692
249,42.50666667
250,33.40333333
251,84.60125
252,70.31925
253,62.39565385
254,24.612
255,20.75666667
256,32.73833333
257,18.657
258,46.85390244
259,24.84390244
260,38.93888889
261,55.4225
262,14.7754
263,55.25
264,36.64326667
265,30.352
266,20.20388889
267,37.350625
268,23.22409091
269,16.05676923
270,50.48413043
271,17.22277778
272,95.29916667
273,125.49625
274,53.62733333
275,26.59125
276,29.151
277,20.74
278,11.74
279,19.895
280,53.792
281,32.11766667
282,24.35
283,360.755
284,35.535
285,28.17
286,33.8615625
287,20.21333333
288,11.917
289,87.12
290,20.43008333
291,21.105625
292,35.37645833
293,55.2
294,31.1275
295,25.29875
296,57.22905851
297,36.70125
298,18.2955625
299,273.755
300,27.09825
301,19.71783333
302,44.62833333
303,134.789
304,28.803
305,10.83275
306,121.77
307,27.94142857
308,30.839
309,56.15916667
310,27.12333333
311,88.77777778
312,27.935
313,20.31264706
314,27.78966667
315,19.055
316,48.09553571
317,54.2675
318,46.95322222
319,32.65836364
320,29.57028571
321,41.616
322,105.465
323,13.44125
324,23.16515789
325,31.7425
326,11.7129
327,21.91166667
328,53.10142857
329,59.4905
330,17.31241935
331,35.72526667
332,43.9745
333,7.712
334,25.08266667
335,16.695
336,32.4898913
337,16.4455
338,17.587
339,20.27896296
340,78.47722222
341,28.87894737
342,36.90769355
343,59.7575
344,87.487
345,24.75629032
346,42.93428571
347,59.05425
348,30.0062
349,47.881
350,37.471875
351,15.16166667
352,27.9925
353,38.48247059
354,21.65952381
355,226.3833333
356,22.49
357,20.659
358,158.823
359,35.34
360,81.295
361,20.1241875
362,22.95383333
363,28.96891667
364,173.506625
365,23.8115
366,13.382
367,76.71
368,37.72247826
369,57.22905851
370,40.7645
371,88.46428571
372,38.025
373,57.97
374,30.081
375,37.04635294
376,37.773
377,107.6705126
378,146.2746154
379,11.745
