,Total
0,1293390
1,1240602
2,841383
3,581847
4,552984
5,547144
6,455447
7,443605
8,422837
9,396188
10,392460
11,387035
12,380521
13,296091
14,275602
15,274614
16,258124
17,256455
18,256114
19,251753
20,243925
21,207716
22,203185
23,
24,187569
25,186698
26,184222
27,169329
28,163108
29,158564
30,156802
31,154894
32,
33,148576
34,148446
35,144659
36,142237
37,140639
38,134165
39,130632
40,127281
41,127281
42,127281
43,127281
44,124949
45,121566
46,121566
47,119305
48,112629
49,107356
50,106796
51,106796
52,106514
53,105385
54,
55,101859
56,"99,504"
57,"97,090"
58,"96,939"
59,"95,320"
60,"93,405"
61,"93,384"
62,"92,422"
63,"90,817"
64,"90,559"
65,
66,"90,079"
67,"89,680"
68,"89,371"
69,"86,809"
70,"86,198"
71,"82,232"
72,"82,030"
73,"81,294"
74,"80,790"
75,
76,"78,657"
77,"74,674"
78,"70,042"
79,"70,001"
80,"67,730"
81,"64,302"
82,"63,675"
83,"62,415"
84,"61,335"
85,"59,685"
86,"59,182"
87,"58,992"
88,"58,825"
89,"58,391"
90,"58,177"
91,"57,445"
92,"56,357"
93,"56,169"
94,"55,803"
95,"55,498"
96,"53,959"
97,"52,170"
98,"52,160"
99,"51,834"
100,"51,825"
101,"51,614"
102,"51,490"
103,"50,657"
104,"49,791"
105,"48,805"
106,"46,703"
107,"45,928"
108,"44,847"
109,"43,876"
110,"43,742"
111,"43,527"
112,"42,273"
113,"42,173"
114,"41,308"
115,"40,319"
116,"39,396"
117,"36,741"
118,"36,699"
119,"36,406"
120,"35,521"
121,"34,977"
122,"34,876"
123,"34,850"
124,"34,327"
125,"33,552"
126,"33,512"
127,"33,372"
128,"32,520"
129,"31,933"
130,"31,655"
131,"30,708"
132,"30,705"
133,"30,389"
134,"29,697"
135,"29,553"
136,"29,537"
137,"29,196"
138,"28,841"
139,"28,470"
140,"27,942"
141,"27,324"
142,"27,258"
143,"26,969"
144,"26,865"
145,"26,157"
146,"25,113"
147,"24,771"
148,"24,651"
149,"24,611"
150,"23,665"
151,"22,660"
152,"22,529"
153,"22,359"
154,"22,091"
155,"22,045"
156,"21,858"
157,"21,553"
158,"21,272"
159,"21,225"
160,"21,177"
161,"20,483"
162,"20,393"
163,"20,253"
164,"20,090"
165,"20,054"
166,"20,048"
167,"19,938"
168,"19,546"
169,"19,529"
170,"19,515"
171,"19,427"
172,"18,804"
173,"18,359"
174,"18,178"
175,"17,860"
176,"17,730"
177,"17,624"
178,"17,617"
179,"17,134"
180,"17,083"
181,"17,070"
182,"17,059"
183,"16,974"
184,"16,872"
185,"16,641"
186,"16,461"
187,"16,431"
188,"16,412"
189,"15,691"
190,"15,613"
191,"15,469"
192,"15,258"
193,"15,233"
194,"14,623"
195,"14,512"
196,"14,267"
197,"14,262"
198,"14,210"
199,"14,183"
200,"13,956"
201,"13,667"
202,"13,571"
203,"13,539"
204,"13,500"
205,"13,409"
206,"13,241"
207,"12,986"
208,"12,979"
209,"12,936"
210,"12,875"
211,"12,744"
212,"10,739"
213,"11,720"
214,"12,717"
215,"12,710"
216,"12,606"
217,"12,207"
218,"11,128"
219,"11,922"
220,"11,617"
221,"11,528"
222,"10,805"
223,"10,774"
224,"10,750"
225,"10,294"
226,"10,075"
227,"10,068"
228,"9,231"
229,"9,215"
230,"9,032"
231,"9,001"
232,"8,957"
233,"8,943"
234,"8,754"
235,"8,684"
236,"8,669"
237,"8,614"
238,"8,607"
239,"8,567"
240,"8,512"
241,"8,342"
242,"8,258"
243,"8,036"
244,"7,966"
245,"7,935"
246,"7,893"
247,"7,873"
248,"7,697"
249,"7,580"
250,"7,505"
251,"7,308"
252,"7,248"
253,"7,245"
254,"7,191"
255,"7,083"
256,"7,007"
257,"6,818"
258,"6,807"
259,"6,784"
260,"6,705"
261,"6,667"
262,"6,440"
263,"6,373"
264,"6,271"
265,"6,220"
266,"6,162"
267,"6,156"
268,"6,149"
269,"6,109"
270,"5,990"
271,"5,986"
272,"5,891"
273,"5,813"
274,"5,794"
275,"5,647"
276,"5,423"
277,"5,420"
278,"5,352"
279,"5,257"
280,"5,139"
281,"4,826"
282,"4,793"
283,"4,742"
284,"4,674"
285,"4,635"
286,"4,528"
287,"4,357"
288,"4,327"
289,"4,278"
290,"4,216"
291,"4,182"
292,"4,174"
293,"4,173"
294,"4,162"
295,"4,107"
296,"4,067"
297,"4,044"
298,"3,934"
299,"3,819"
300,"3,785"
301,"3,772"
302,"3,711"
303,"3,667"
304,"3,662"
305,"3,591"
306,"3,495"
307,"3,476"
308,"3,453"
309,"3,447"
310,"3,429"
311,"3,425"
312,"3,415"
313,"3,343"
314,"3,339"
315,"3,183"
316,"3,179"
317,"3,163"
318,"3,126"
319,"2,976"
320,"2,975"
321,"2,948"
322,"2,930"
323,"2,918"
324,"2,893"
325,"2,851"
326,"2,795"
327,"2,784"
328,"2,758"
329,"2,702"
330,"2,695"
331,"2,693"
332,"2,688"
333,"2,674"
334,"2,655"
335,"2,628"
336,"2,562"
337,"2,472"
338,"2,472"
339,"2,457"
340,"2,452"
341,"2,431"
342,"2,398"
343,"2,378"
344,"2,332"
345,"2,324"
346,"2,319"
347,"2,286"
348,"2,233"
349,"2,227"
350,"2,212"
351,"2,201"
352,"2,179"
353,"2,177"
354,"2,159"
355,"2,127"
356,"2,060"
357,"2,041"
358,"2,031"
359,"2,030"
360,"2,010"
361,"1,969"
362,"1,963"
363,"1,947"
364,"1,939"
365,"1,922"
366,"1,905"
367,"1,895"
368,"1,888"
369,"1,853"
370,"1,817"
371,"1,806"
372,"1,798"
373,"1,782"
374,"1,753"
375,"1,740"
376,"1,716"
377,"1,705"
378,"1,682"
379,"1,679"
380,"1,676"
381,"1,675"
382,"1,665"
383,"1,653"
384,"1,511"
385,"1,412"
386,"1,386"
387,"1,345"
388,"1,334"
389,"1,314"
390,"1,266"
391,"1,264"
392,"1,261"
393,"1,261"
394,"1,242"
395,"1,189"
396,"1,175"
397,"1,157"
398,"1,142"
399,"1,108"
400,"1,106"
401,"1,104"
402,"1,082"
403,"1,081"
404,"1,080"
405,"1,056"
406,"1,037"
407,"1,034"
408,"1,027"
409,"1,014"
410,1273125
411,1198637
412,824931
413,608272
414,550977
415,534808
416,495435
417,484228
418,443983
419,420978
420,412560
421,402209
422,358624
423,284960
424,276242
425,272157
426,269772
427,265774
428,241501
429,238243
430,232858
431,196677
432,193320
433,182301
434,172236
435,169590
436,168970
437,166883
438,152064
439,151720
440,150215
441,148234
442,144151
443,137125
444,128418
445,126471
446,124892
447,121077
448,113825
449,108298
450,106655
451,105599
452,104304
453,103520
454,102098
455,"99,778"
456,"99,721"
457,"97,048"
458,"95,825"
459,"95,173"
460,"94,077"
461,"94,012"
462,"93,545"
463,"92,708"
464,"92,267"
465,"91,737"
466,"88,598"
467,"85,860"
468,"85,317"
469,"85,221"
470,"83,573"
471,"80,758"
472,"79,659"
473,"78,604"
474,"76,860"
475,"76,854"
476,"74,835"
477,"69,544"
478,"69,156"
479,"67,683"
480,"65,687"
481,"65,615"
482,"65,055"
483,"64,939"
484,"62,671"
485,"61,367"
486,"60,390"
487,"60,191"
488,"59,421"
489,"58,436"
490,"54,639"
491,"53,714"
492,"53,044"
493,"52,348"
494,"51,401"
495,"50,451"
496,"49,760"
497,"47,530"
498,"46,554"
499,"45,570"
500,"45,321"
501,"44,627"
502,"44,277"
503,"42,796"
504,"42,748"
505,"41,813"
506,"41,693"
507,"41,399"
508,"40,373"
509,"40,224"
510,"39,616"
511,"39,203"
512,"38,777"
513,"38,224"
514,"37,648"
515,"37,282"
516,"37,051"
517,"36,833"
518,"36,713"
519,"35,891"
520,"35,126"
521,"35,033"
522,"34,900"
523,"34,267"
524,"33,812"
525,"33,159"
526,"32,701"
527,"32,465"
528,"32,018"
529,"31,917"
530,"31,487"
531,"30,675"
532,"30,468"
533,"30,302"
534,"29,545"
535,"29,204"
536,"28,979"
537,"28,738"
538,"28,699"
539,"28,115"
540,"27,790"
541,"27,299"
542,"25,120"
543,"23,836"
544,"23,695"
545,"23,420"
546,"23,360"
547,"22,968"
548,"22,258"
549,"22,014"
550,"21,985"
551,"21,088"
552,"21,055"
553,"20,713"
554,"20,644"
555,"20,474"
556,"20,376"
557,"20,286"
558,"20,243"
559,"20,201"
560,"19,277"
561,"19,268"
562,"18,899"
563,"18,804"
564,"18,525"
565,"18,356"
566,"18,233"
567,"18,193"
568,"17,832"
569,"17,682"
570,"17,650"
571,"17,519"
572,"17,356"
573,"17,292"
574,"17,126"
575,"16,993"
576,"16,803"
577,"16,756"
578,"16,637"
579,"16,578"
580,"16,403"
581,"16,387"
582,"16,240"
583,"16,100"
584,"16,004"
585,"15,652"
586,"15,511"
587,"15,399"
588,"15,249"
589,"14,714"
590,"14,707"
591,"14,675"
592,"14,558"
593,"14,534"
594,"14,048"
595,"13,941"
596,"13,868"
597,"13,845"
598,"13,692"
599,"13,649"
600,"13,598"
601,"13,337"
602,"13,191"
603,"13,169"
604,"13,020"
605,"12,939"
606,"12,895"
607,"12,572"
608,"12,496"
609,"12,460"
610,"12,300"
611,"12,222"
612,"12,213"
613,"12,112"
614,"12,027"
615,"11,989"
616,"11,833"
617,"11,777"
618,"11,729"
619,"11,594"
620,"11,522"
621,"11,419"
622,"11,168"
623,"11,088"
624,"11,026"
625,"10,502"
626,"10,499"
627,"10,020"
628,"9,991"
629,"9,851"
630,"9,787"
631,"9,643"
632,"9,262"
633,"9,000"
634,"8,984"
635,"8,839"
636,"8,715"
637,"8,584"
638,"8,414"
639,"8,401"
640,"8,225"
641,"8,159"
642,"8,099"
643,"8,099"
644,"8,031"
645,"7,838"
646,"7,575"
647,"7,548"
648,"7,323"
649,"7,235"
650,"7,112"
651,"7,105"
652,"7,016"
653,"6,929"
654,"6,767"
655,"6,688"
656,"6,653"
657,"6,546"
658,"6,318"
659,"6,316"
660,"6,315"
661,"6,306"
662,"6,302"
663,"6,023"
664,"5,831"
665,"5,818"
666,"5,776"
667,"5,608"
668,"5,584"
669,"5,458"
670,"5,450"
671,"5,440"
672,"5,436"
673,"5,420"
674,"5,201"
675,"5,177"
676,"5,172"
677,"5,059"
678,"5,056"
679,"5,041"
680,"5,022"
681,"4,996"
682,"4,818"
683,"4,539"
684,"4,491"
685,"4,453"
686,"4,195"
687,"4,094"
688,"3,937"
689,"3,920"
690,"3,920"
691,"3,831"
692,"3,821"
693,"3,817"
694,"3,744"
695,"3,724"
696,"3,717"
697,"3,623"
698,"3,622"
699,"3,609"
700,"3,603"
701,"3,565"
702,"3,558"
703,"3,514"
704,"3,503"
705,"3,496"
706,"3,458"
707,"3,427"
708,"3,425"
709,"3,407"
710,"3,360"
711,"3,315"
712,"3,266"
713,"3,265"
714,"3,257"
715,"3,247"
716,"3,195"
717,"3,148"
718,"3,073"
719,"3,057"
720,"3,055"
721,"3,047"
722,"2,953"
723,"2,953"
724,"2,942"
725,"2,938"
726,"2,831"
727,"2,805"
728,"2,720"
729,"2,675"
730,"2,637"
731,"2,626"
732,"2,607"
733,"2,558"
734,"2,489"
735,"2,449"
736,"2,335"
737,"2,314"
738,"2,301"
739,"2,295"
740,"2,283"
741,"2,266"
742,"2,255"
743,"2,239"
744,"2,156"
745,"2,155"
746,"2,154"
747,"2,151"
748,"2,108"
749,"2,105"
750,"2,099"
751,"2,073"
752,"2,061"
753,"2,008"
754,"1,985"
755,"1,958"
756,"1,948"
757,"1,920"
758,"1,882"
759,"1,865"
760,"1,817"
761,"1,780"
762,"1,726"
763,"1,686"
764,"1,666"
765,"1,635"
766,"1,597"
767,"1,589"
768,"1,562"
769,"1,556"
770,"1,521"
771,"1,493"
772,"1,468"
773,"1,431"
774,"1,426"
775,"1,382"
776,"1,335"
777,"1,328"
778,"1,324"
779,"1,306"
780,"1,301"
781,"1,299"
782,"1,299"
783,"1,281"
784,"1,270"
785,"1,256"
786,"1,247"
787,"1,227"
788,"1,223"
789,"1,215"
790,"1,208"
791,"1,197"
792,"1,187"
793,"1,166"
794,"1,147"
795,"1,119"
796,"1,115"
797,"1,114"
798,"1,109"
799,"1,093"
800,"1,054"
801,"1,042"
802,"1,012"
803,"1,001"
804,1235837
805,1169492
806,807333
807,634005
808,552782
809,525508
810,524426
811,520099
812,463783
813,452802
814,427344
815,406485
816,338403
817,282383
818,277681
819,276803
820,275964
821,267513
822,218732
823,218332
824,212796
825,207233
826,181554
827,179642
828,173138
829,164727
830,163746
831,158113
832,154856
833,147379
834,146810
835,141226
836,139622
837,134620
838,128363
839,127483
840,126455
841,126016
842,125560
843,120615
844,117383
845,112091
846,108276
847,101559
848,100318
849,"98,725"
850,"97,740"
851,"96,843"
852,"93,436"
853,"93,351"
854,"90,616"
855,"87,078"
856,"86,290"
857,"84,359"
858,"82,040"
859,"81,497"
860,"81,450"
861,"78,493"
862,"78,439"
863,"78,379"
864,"77,529"
865,"77,223"
866,"74,188"
867,"73,118"
868,"72,281"
869,"69,682"
870,"68,439"
871,"68,221"
872,"67,880"
873,"67,006"
874,"66,234"
875,"65,065"
876,"64,976"
877,"64,070"
878,"62,146"
879,"60,878"
880,"59,486"
881,"59,485"
882,"57,576"
883,"57,366"
884,"54,400"
885,"52,717"
886,"51,530"
887,"51,403"
888,"49,607"
889,"49,517"
890,"49,441"
891,"48,863"
892,"47,637"
893,"46,980"
894,"45,952"
895,"42,174"
896,"42,156"
897,"41,609"
898,"40,735"
899,"40,707"
900,"40,475"
901,"40,415"
902,"39,870"
903,"38,503"
904,"38,147"
905,"37,501"
906,"37,382"
907,"36,828"
908,"36,306"
909,"36,192"
910,"35,112"
911,"35,024"
912,"34,193"
913,"34,047"
914,"33,612"
915,"32,755"
916,"32,619"
917,"32,325"
918,"31,036"
919,"30,286"
920,"30,004"
921,"29,639"
922,"29,367"
923,"29,185"
924,"28,714"
925,"28,561"
926,"28,459"
927,"28,150"
928,"27,501"
929,"27,108"
930,"26,978"
931,"26,713"
932,"26,419"
933,"25,901"
934,"24,880"
935,"24,780"
936,"23,217"
937,"23,048"
938,"22,659"
939,"22,542"
940,"22,520"
941,"22,500"
942,"22,398"
943,"22,234"
944,"22,116"
945,"21,751"
946,"21,465"
947,"20,892"
948,"20,615"
949,"20,600"
950,"20,412"
951,"20,142"
952,"19,822"
953,"19,543"
954,"19,293"
955,"19,180"
956,"19,169"
957,"19,150"
958,"18,972"
959,"18,781"
960,"18,626"
961,"18,544"
962,"17,790"
963,"17,751"
964,"17,697"
965,"17,351"
966,"17,321"
967,"17,192"
968,"17,188"
969,"17,147"
970,"16,760"
971,"16,636"
972,"16,568"
973,"16,293"
974,"16,151"
975,"15,720"
976,"15,667"
977,"15,566"
978,"15,534"
