,Unknown
0,"56,487"
1,"54,057"
2,"47,563"
3,"28,004"
4,"29,125"
5,"31,701"
6,"26,135"
7,"16,550"
8,"26,619"
9,"21,042"
10,"20,324"
11,"21,049"
12,"27,670"
13,"17,242"
14,"13,629"
15,"14,505"
16,"15,698"
17,"14,460"
18,"14,395"
19,"13,442"
20,"11,519"
21,"10,776"
22,"11,806"
23,
24,"9,921"
25,"9,893"
26,"12,042"
27,"9,443"
28,"9,574"
29,"9,465"
30,"8,346"
31,"6,282"
32,
33,"6,388"
34,"6,847"
35,"8,830"
36,"6,147"
37,"8,177"
38,"9,727"
39,"7,892"
40,"5,547"
41,"5,547"
42,"5,547"
43,"5,547"
44,"7,427"
45,"8,166"
46,"8,166"
47,"6,616"
48,"5,917"
49,"7,814"
50,"4,208"
51,"4,208"
52,"5,507"
53,"3,857"
54,
55,"5,908"
56,"3,778"
57,"3,968"
58,"4,395"
59,"5,274"
60,"5,986"
61,"4,536"
62,"4,503"
63,"6,070"
64,"5,151"
65,
66,"4,024"
67,"4,647"
68,"5,714"
69,"3,850"
70,"5,032"
71,"4,671"
72,"4,747"
73,"3,897"
74,"3,722"
75,
76,"4,431"
77,"3,354"
78,"4,531"
79,"4,776"
80,"2,239"
81,"2,336"
82,"3,268"
83,"5,707"
84,"3,559"
85,"1,991"
86,"2,693"
87,"2,947"
88,"2,532"
89,"3,538"
90,"3,194"
91,"2,388"
92,"2,902"
93,"4,330"
94,"3,286"
95,"2,019"
96,"3,794"
97,"2,374"
98,"3,081"
99,"1,642"
100,"2,246"
101,"2,495"
102,"2,059"
103,"1,940"
104,"2,342"
105,"2,781"
106,"2,161"
107,"1,331"
108,"4,383"
109,"1,853"
110,"2,481"
111,"1,626"
112,"2,834"
113,"1,831"
114,"2,413"
115,"2,645"
116,"1,750"
117,"2,148"
118,"2,113"
119,"1,758"
120,"1,547"
121,"1,599"
122,"1,496"
123,"1,348"
124,"1,856"
125,"1,694"
126,"2,551"
127,"1,516"
128,"1,215"
129,"1,689"
130,"1,231"
131,"1,747"
132,"1,264"
133,"1,712"
134,907
135,"1,748"
136,"1,320"
137,"1,082"
138,"1,973"
139,"1,692"
140,"1,597"
141,"1,891"
142,"1,071"
143,"1,566"
144,"1,749"
145,"1,340"
146,"1,072"
147,"1,154"
148,999
149,"1,421"
150,"1,296"
151,"1,320"
152,"1,630"
153,660
154,"1,332"
155,"1,099"
156,989
157,"1,284"
158,"1,245"
159,"1,499"
160,"1,217"
161,866
162,"1,044"
163,"1,069"
164,989
165,"1,307"
166,883
167,906
168,"1,075"
169,763
170,837
171,"1,268"
172,981
173,"1,064"
174,925
175,"1,055"
176,930
177,963
178,995
179,672
180,607
181,900
182,"1,352"
183,661
184,"1,029"
185,789
186,"1,288"
187,879
188,"1,211"
189,969
190,893
191,799
192,905
193,"1,118"
194,811
195,728
196,967
197,571
198,823
199,731
200,646
201,694
202,744
203,769
204,620
205,615
206,782
207,739
208,550
209,290
210,899
211,640
212,569
213,716
214,630
215,666
216,405
217,737
218,668
219,573
220,392
221,715
222,662
223,641
224,579
225,636
226,545
227,383
228,404
229,543
230,406
231,425
232,325
233,412
234,608
235,187
236,463
237,371
238,223
239,427
240,571
241,322
242,383
243,472
244,578
245,420
246,430
247,209
248,433
249,395
250,320
251,362
252,249
253,385
254,460
255,195
256,675
257,417
258,231
259,346
260,352
261,218
262,397
263,281
264,348
265,310
266,390
267,275
268,340
269,300
270,379
271,364
272,214
273,294
274,410
275,271
276,246
277,282
278,398
279,238
280,214
281,224
282,317
283,191
284,139
285,201
286,147
287,296
288,189
289,162
290,148
291,180
292,244
293,249
294,161
295,301
296,260
297,220
298,90
299,160
300,181
301,225
302,101
303,139
304,144
305,164
306,116
307,65
308,224
309,162
310,209
311,251
312,267
313,222
314,153
315,141
316,165
317,148
318,81
319,221
320,170
321,186
322,129
323,145
324,174
325,142
326,52
327,159
328,129
329,104
330,137
331,111
332,150
333,142
334,110
335,129
336,141
337,138
338,132
339,126
340,166
341,73
342,110
343,144
344,131
345,126
346,96
347,174
348,122
349,102
350,102
351,116
352,58
353,88
354,105
355,90
356,127
357,62
358,113
359,80
360,56
361,102
362,100
363,172
364,70
365,153
366,112
367,80
368,96
369,131
370,103
371,166
372,100
373,73
374,124
375,72
376,74
377,52
378,85
379,96
380,119
381,94
382,48
383,76
384,46
385,53
386,61
387,56
388,75
389,68
390,67
391,46
392,53
393,65
394,29
395,64
396,45
397,61
398,22
399,50
400,49
401,79
402,41
403,39
404,35
405,46
406,39
407,66
408,37
409,33
410,"55,632"
411,"51,752"
412,"46,958"
413,"29,419"
414,"29,479"
415,"31,568"
416,"27,961"
417,"18,006"
418,"27,535"
419,"22,917"
420,"21,570"
421,"21,581"
422,"26,065"
423,"16,921"
424,"14,718"
425,"13,635"
426,"14,903"
427,"12,325"
428,"12,382"
429,"14,091"
430,"13,166"
431,"12,747"
432,"9,837"
433,"9,472"
434,"9,045"
435,"10,002"
436,"9,958"
437,"9,135"
438,"6,512"
439,"7,948"
440,"9,106"
441,"8,839"
442,"5,781"
443,"5,816"
444,"9,522"
445,"5,623"
446,"6,924"
447,"8,184"
448,"4,872"
449,"5,215"
450,"6,301"
451,"4,727"
452,"5,917"
453,"4,687"
454,"7,595"
455,"5,409"
456,"4,056"
457,"4,917"
458,"4,307"
459,"4,202"
460,"5,249"
461,"6,032"
462,"3,308"
463,"6,785"
464,"3,413"
465,"4,330"
466,"4,404"
467,"3,044"
468,"5,809"
469,"4,231"
470,"5,392"
471,"4,569"
472,"3,656"
473,"3,375"
474,"4,140"
475,"3,559"
476,"4,095"
477,"3,939"
478,"3,959"
479,"4,588"
480,"2,747"
481,"2,544"
482,"4,206"
483,"3,815"
484,"3,503"
485,"3,200"
486,"3,733"
487,"2,806"
488,"1,934"
489,"2,467"
490,"2,708"
491,"2,279"
492,"2,477"
493,"1,872"
494,"3,626"
495,"2,998"
496,"2,798"
497,"1,514"
498,"1,993"
499,"3,497"
500,"1,977"
501,"1,976"
502,"2,050"
503,"1,454"
504,"1,853"
505,"2,472"
506,"1,528"
507,"2,338"
508,"4,055"
509,"1,305"
510,"1,970"
511,"1,497"
512,"2,622"
513,"1,528"
514,"2,027"
515,"3,564"
516,"1,946"
517,"1,093"
518,"1,571"
519,"1,527"
520,"1,613"
521,"2,229"
522,"2,706"
523,"1,587"
524,"1,962"
525,"2,123"
526,"1,793"
527,"1,762"
528,"1,777"
529,"1,386"
530,"1,783"
531,"1,608"
532,"1,305"
533,"1,645"
534,"1,596"
535,"1,364"
536,"1,977"
537,"1,951"
538,"1,640"
539,"1,737"
540,814
541,"1,576"
542,"1,429"
543,"1,393"
544,"1,305"
545,902
546,"1,324"
547,"1,656"
548,"1,335"
549,"1,323"
550,"1,573"
551,919
552,"1,026"
553,"1,176"
554,834
555,933
556,"1,024"
557,883
558,"1,356"
559,675
560,"1,030"
561,982
562,"1,042"
563,894
564,"1,066"
565,827
566,"1,104"
567,"1,085"
568,855
569,645
570,966
571,597
572,892
573,767
574,680
575,"1,229"
576,"1,251"
577,881
578,955
579,"1,023"
580,"1,272"
581,614
582,592
583,880
584,913
585,875
586,755
587,920
588,751
589,"1,144"
590,821
591,668
592,613
593,539
594,471
595,771
596,919
597,749
598,357
599,472
600,749
601,896
602,764
603,660
604,652
605,656
606,870
607,522
608,603
609,633
610,543
611,667
612,777
613,746
614,563
615,424
616,542
617,580
618,722
619,735
620,655
621,646
622,767
623,553
624,667
625,584
626,549
627,522
628,525
629,601
630,534
631,538
632,428
633,450
634,313
635,397
636,197
637,317
638,393
639,443
640,472
641,398
642,321
643,571
644,261
645,379
646,409
647,361
648,255
649,455
650,397
651,377
652,390
653,221
654,307
655,308
656,294
657,391
658,302
659,443
660,320
661,245
662,308
663,363
664,130
665,311
666,252
667,214
668,386
669,279
670,357
671,234
672,262
673,243
674,201
675,397
676,269
677,118
678,318
679,339
680,225
681,264
682,219
683,182
684,430
685,263
686,302
687,198
688,219
689,162
690,242
691,249
692,90
693,186
694,148
695,208
696,148
697,195
698,204
699,155
700,291
701,182
702,146
703,210
704,210
705,129
706,209
707,172
708,195
709,103
710,136
711,162
712,225
713,144
714,215
715,149
716,146
717,160
718,153
719,105
720,109
721,171
722,169
723,111
724,66
725,147
726,153
727,155
728,143
729,129
730,126
731,119
732,111
733,90
734,106
735,126
736,97
737,97
738,152
739,92
740,95
741,61
742,102
743,149
744,115
745,149
746,135
747,66
748,86
749,111
750,116
751,177
752,65
753,126
754,96
755,146
756,113
757,52
758,84
759,78
760,76
761,99
762,87
763,71
764,88
765,97
766,64
767,73
768,42
769,64
770,85
771,54
772,56
773,82
774,83
775,41
776,47
777,48
778,49
779,52
780,66
781,52
782,31
783,59
784,19
785,41
786,68
787,64
788,39
789,24
790,30
791,48
792,81
793,55
794,45
795,77
796,56
797,48
798,44
799,60
800,28
801,30
802,44
803,82
804,"54,201"
805,"49,604"
806,"46,520"
807,"30,997"
808,"29,801"
809,"29,526"
810,"31,498"
811,"19,464"
812,"28,179"
813,"24,716"
814,"22,056"
815,"21,985"
816,"24,591"
817,"12,682"
818,"14,984"
819,"14,824"
820,"16,685"
821,"13,541"
822,"12,627"
823,"10,864"
824,"12,173"
825,"13,225"
826,"9,031"
827,"9,388"
828,"10,283"
829,"8,972"
830,"9,570"
831,"8,118"
832,"6,596"
833,"7,666"
834,"8,989"
835,"8,401"
836,"6,780"
837,"5,320"
838,"5,426"
839,"5,886"
840,"6,983"
841,"9,342"
842,"5,692"
843,"8,139"
844,"5,252"
845,"6,411"
846,"4,561"
847,"4,286"
848,"4,059"
849,"3,961"
850,"4,600"
851,"5,130"
852,"6,057"
853,"5,039"
854,"3,856"
855,"3,945"
856,"3,137"
857,"4,705"
858,"4,001"
859,"2,829"
860,"4,727"
861,"3,748"
862,"5,540"
863,"5,015"
864,"5,645"
865,"4,748"
866,"3,632"
867,"3,113"
868,"4,145"
869,"3,702"
870,"4,091"
871,"2,973"
872,"3,493"
873,"4,513"
874,"3,729"
875,"2,736"
876,"2,995"
877,"2,029"
878,"3,806"
879,"2,668"
880,"3,278"
881,"3,835"
882,"2,997"
883,"2,545"
884,"2,257"
885,"2,284"
886,"2,510"
887,"1,654"
888,"2,125"
889,"2,719"
890,"2,863"
891,"2,146"
892,"3,432"
893,"1,998"
894,"2,658"
895,"3,299"
896,"2,067"
897,"1,635"
898,"1,483"
899,"2,439"
900,"2,134"
901,"2,231"
902,"1,640"
903,"1,632"
904,"2,395"
905,"1,585"
906,"1,083"
907,"2,083"
908,"1,934"
909,"2,875"
910,"3,495"
911,"2,368"
912,"1,720"
913,"1,858"
914,"1,565"
915,"1,097"
916,"1,109"
917,"1,737"
918,972
919,"2,009"
920,"1,115"
921,"1,584"
922,"1,792"
923,"1,188"
924,"1,653"
925,"2,010"
926,"1,558"
927,"1,480"
928,"1,557"
929,"1,490"
930,752
931,"1,595"
932,"1,670"
933,735
934,"1,115"
935,"1,434"
936,"1,707"
937,"1,002"
938,"1,135"
939,"1,346"
940,"1,297"
941,"1,635"
942,"1,164"
943,807
944,"1,101"
945,"1,292"
946,"1,015"
947,"1,166"
948,"1,356"
949,789
950,"1,109"
951,"1,139"
952,"1,106"
953,"2,187"
954,"1,097"
955,959
956,"1,138"
957,"1,372"
958,828
959,935
960,933
961,"1,065"
962,585
963,842
964,743
965,717
966,917
967,"1,128"
968,768
969,"1,252"
970,"1,011"
971,763
972,970
973,809
974,903
975,904
976,689
977,987
978,"1,190"
979,654
980,712
981,505
982,529
983,525
984,833
985,504
986,762
987,536
988,727
989,997
990,706
991,741
992,766
993,767
994,673
995,854
996,747
997,890
998,503
999,656
1000,781
1001,749
1002,652
1003,945
1004,593
1005,644
1006,650
1007,760
1008,718
1009,569
1010,337
1011,576
1012,579
1013,525
1014,509
1015,486
1016,475
1017,672
1018,430
1019,620
1020,367
1021,447
1022,524
1023,364
1024,498
1025,495
1026,426
1027,444
1028,492
1029,563
1030,358
1031,411
1032,300
1033,466
1034,199
1035,477
1036,374
1037,423
1038,372
1039,424
1040,295
1041,293
1042,236
1043,392
1044,352
1045,341
1046,506
1047,232
1048,284
1049,392
1050,411
1051,379
1052,152
1053,302
1054,313
1055,461
1056,297
1057,326
1058,291
1059,294
1060,159
1061,263
1062,227
1063,298
1064,240
1065,361
1066,103
1067,357
1068,283
1069,204
1070,312
1071,276
1072,233
1073,316
1074,247
1075,290
1076,241
1077,289
1078,183
1079,245
1080,201
1081,236
1082,159
1083,177
1084,150
1085,226
1086,225
1087,83
1088,176
1089,172
1090,276
1091,131
1092,187
1093,157
1094,265
1095,175
1096,203
1097,201
1098,193
1099,165
1100,129
1101,177
1102,116
1103,123
1104,142
1105,175
1106,70
1107,125
1108,161
1109,55
1110,187
1111,117
1112,116
1113,142
1114,142
1115,177
1116,74
1117,148
1118,108
1119,115
1120,126
1121,79
1122,171
1123,114
1124,135
1125,91
1126,76
1127,174
1128,129
1129,160
1130,149
1131,92
1132,91
1133,137
1134,99
1135,103
1136,86
1137,174
1138,111
1139,100
1140,124
1141,135
1142,60
1143,155
1144,190
1145,80
1146,89
1147,100
1148,136
1149,73
1150,79
1151,97
1152,63
1153,76
1154,93
1155,96
1156,70
1157,71
1158,70
1159,83
1160,36
1161,88
1162,83
1163,78
1164,41
1165,116
1166,86
1167,68
1168,59
1169,34
1170,59
1171,67
1172,56
1173,58
1174,39
1175,88
1176,55
1177,85
1178,67
1179,55
1180,27
1181,57
1182,54
1183,59
1184,40
1185,54
1186,34
1187,63
1188,40
1189,41
1190,57
1191,42
1192,47
1193,39
1194,48
1195,38
1196,"50,915"
1197,"48,115"
1198,"45,399"
1199,"31,372"
1200,"20,076"
1201,"29,650"
1202,"30,018"
1203,"31,184"
1204,"28,921"
1205,"25,860"
1206,"22,096"
1207,"22,042"
1208,"23,662"
1209,"12,710"
1210,"14,603"
1211,"14,302"
1212,"16,256"
1213,"13,036"
1214,"13,792"
1215,"11,236"
1216,"10,912"
1217,"8,859"
1218,"9,978"
1219,"9,004"
1220,"10,284"
1221,"8,217"
1222,"8,281"
1223,"8,674"
1224,"6,571"
1225,"6,968"
1226,"6,050"
1227,"6,612"
1228,"7,248"
1229,"8,917"
1230,"5,991"
1231,"6,866"
1232,"4,987"
1233,"6,788"
1234,"9,013"
1235,"5,666"
1236,"8,043"
1237,"6,807"
1238,"4,995"
1239,"6,886"
1240,"5,525"
1241,"5,053"
1242,"3,827"
1243,"3,997"
1244,"5,980"
1245,"4,223"
1246,"4,838"
1247,"3,413"
1248,"3,378"
1249,"4,814"
1250,"3,592"
1251,"2,934"
1252,"3,297"
1253,"5,496"
1254,"4,334"
1255,"4,699"
1256,"2,365"
1257,"3,239"
1258,"3,276"
1259,"3,851"
1260,"4,369"
1261,"4,978"
1262,"3,320"
1263,"3,689"
1264,"2,488"
1265,"2,830"
1266,"2,414"
1267,"2,773"
1268,"2,334"
1269,"3,493"
1270,"2,284"
1271,"2,675"
1272,"2,027"
1273,"3,274"
1274,"3,361"
1275,"2,110"
1276,"2,903"
1277,"2,146"
1278,"2,720"
1279,"2,351"
1280,"1,890"
1281,"2,577"
1282,"2,811"
1283,"1,956"
1284,"2,694"
1285,"1,279"
1286,"1,747"
1287,"1,502"
1288,"3,183"
1289,"2,182"
1290,"2,258"
1291,"2,223"
1292,"2,312"
1293,"1,691"
1294,"2,634"
1295,"1,651"
1296,"3,075"
1297,"2,791"
1298,"1,758"
1299,"1,828"
1300,"1,514"
1301,"1,826"
1302,"1,617"
1303,"2,143"
1304,"2,075"
1305,"1,626"
1306,"3,120"
1307,"1,770"
1308,761
1309,"1,170"
1310,"1,389"
1311,"2,073"
1312,"1,560"
1313,947
1314,"1,402"
1315,"1,524"
1316,"1,379"
1317,"1,014"
1318,"1,265"
1319,"1,476"
1320,"1,500"
1321,"1,146"
1322,"1,269"
1323,705
1324,"1,190"
1325,680
1326,"1,531"
1327,790
1328,"1,302"
1329,"1,256"
1330,"1,656"
1331,"1,322"
1332,"1,680"
1333,"1,124"
1334,809
1335,606
1336,"1,237"
1337,"1,208"
1338,"1,549"
1339,694
1340,"1,157"
1341,"1,242"
1342,998
1343,"1,116"
1344,"1,361"
1345,944
1346,"1,300"
1347,"1,136"
1348,"1,113"
1349,515
1350,660
1351,769
1352,976
1353,"1,191"
1354,895
1355,"1,102"
1356,"1,163"
1357,690
1358,964
1359,674
1360,810
1361,737
1362,887
1363,"1,247"
1364,556
1365,754
1366,820
1367,554
1368,739
1369,504
1370,796
1371,892
1372,676
1373,806
1374,890
1375,701
1376,779
1377,746
1378,481
1379,722
1380,900
1381,766
1382,732
1383,852
1384,686
1385,834
1386,527
