Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
Ford,Focus,30.62,5.97,-94.03,1497.17,petrol,422731,814172,"56,487",1293390
Ford,Fiesta,18.53,5000.71,68.57,1166.14,petrol,631666,554879,"54,057",1240602
Volkswagen,Golf,31.24,6.16,-89.46,1537.41,petrol,310604,483216,"47,563",841383
Renault,Clio,22.1,5.62,75.58,1219.65,petrol,312556,241287,"28,004",581847
BMW,320i,47.85,6.44,126.11,1995.78,petrol,115843,408016,"29,125",552984
Volkswagen,Polo,18.19,5.07,60.96,1408.06,petrol,299110,216333,"31,701",547144
Peugeot,206,20.03,4.83,71.33,1631.5,petrol,250614,178698,"26,135",455447
Ford,Mondeo,39.97,1.75,130.25,1998.5,petrol,"69,603",357452,"16,550",443605
Nissan,Micra,20.38,4.87,67.96,1279.7,petrol,253000,143218,"26,619",422837
Honda,Civic,29.94,4.5,106.22,1480.58,petrol,132958,242188,"21,042",396188
Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,269428,102708,"20,324",392460
Renault,Megane,26.45,5.41,87.31,1623.79,petrol,156607,209379,"21,049",387035
Toyota,Yaris,20.72,3.52,74.4,1397.8,petrol,214944,137907,"27,670",380521
Mercedes,CLA,46.53,7.04,131.6,1596.92,petrol,"69,373",209476,"17,242",296091
Audi,A4,57.93,6.16,149.71,2283.11,petrol,"59,936",202037,"13,629",275602
Volkswagen,Passat,46.06,6.49,125.44,1835.85,petrol,"48,599",211510,"14,505",274614
Honda,Jazz,26.35,0.0,80.0,1498.0,petrol,136875,105551,"15,698",258124
Audi,A3,36.22,6.47,94.33,1424.67,petrol,"97,033",144962,"14,460",256455
Peugeot,307,27.46,4.87,86.45,1723.0,petrol,108991,132728,"14,395",256114
Peugeot,207,21.7,4.9,79.77,1536.0,petrol,138839,"99,472","13,442",251753
Citroen,Xsara,22.36,4.88,72.58,1743.44,petrol,"87,029",145377,"11,519",243925
Skoda,Fabia,19.01,5.21,66.97,1292.35,petrol,"87,532",109408,"10,776",207716
BMW,118i,37.43,6.2,104.2,1796.6,petrol,"87,660",103719,"11,806",203185
Ford,Focus,,,,,,,,,
Land-Rover,Freelander,43.86,5.29,105.17,2083.52,diesel,"59,369",118279,"9,921",187569
Citroen,C3,22.9,5.41,75.65,1364.0,petrol,"98,254","78,551","9,893",186698
Toyota,Corolla,27.24,3.03,91.61,1677.95,petrol,"67,184",104996,"12,042",184222
BMW,535i,93.71,8.0,225.0,2979.0,petrol,"21,302",138584,"9,443",169329
Toyota,Avensis,37.32,4.32,103.68,1873.26,petrol,"29,728",123806,"9,574",163108
Mercedes,E,78.07,7.67,192.4,2598.82,petrol,"24,029",125070,"9,465",158564
Renault,Scenic,32.06,5.96,89.35,1472.83,diesel,"62,467","85,989","8,346",156802
Seat,Ibiza,19.94,5.65,76.32,1205.19,petrol,"73,895","74,717","6,282",154894
Seat,Ibiza,,,,,,,,,
Land-Rover,Discovery,107.45,80000.0,182.57,2425.43,diesel,"29,981",112207,"6,388",148576
Land-Rover,Range,107.67,8.28,196.34,2521.09,diesel,"34,079",107520,"6,847",148446
Nissan,Qashqai+2,34.94,5.25,97.72,1820.66,diesel,"56,539","79,290","8,830",144659
Skoda,Octavia,30.65,6.35,95.0,1136.69,petrol,"25,662",110428,"6,147",142237
Fiat,500L,26.29,5.6,74.73,1186.33,diesel,102113,"30,349","8,177",140639
Mercedes,A,31.1,4.55,93.01,1699.12,petrol,"68,928","55,510","9,727",134165
Nissan,Almera,22.78,4.92,81.67,1847.67,petrol,"44,706","78,034","7,892",130632
Citroen,C4,29.26,5.95,90.62,1462.36,petrol,"42,130","79,604","5,547",127281
Citroen,C5,290050.26,5.95,0.12,1462.36,petrol,"42,130","79,604","5,547",127281
Citroen,C6,2.26,7.95,70600.12,1462.36,petrol,"42,130","79,604","5,547",127281
Mini,Two,3.56,5.95,80120.12,1462.36,petrol,"42,130","79,604","5,547",127281
Mini,One,24.1,6.25,68.75,1498.25,petrol,"87,974","29,548","7,427",124949
Toyota,RAV4,43.55,1.35,137.77,2261.19,petrol,"54,005","59,395","8,166",121566
Toyota,RAV5,4.35,1.35,5370354.77,2261.19,petrol,"54,005","59,395","8,166",121566
Saab,9-3X,49.29,6.0,145.0,1963.67,petrol,"27,948","84,741","6,616",119305
Peugeot,107,11.14,5.0,50.0,998.0,petrol,"73,891","32,821","5,917",112629
Toyota,Aygo,15.21,5.0,53.0,998.0,petrol,"66,147","33,395","7,814",107356
Hyundai,I10,16.01,5.0,51.78,998.0,petrol,"63,346","39,242","4,208",106796
Hyundai,I11,1.6,5.0,517777.78,998.0,petrol,"63,346","39,242","4,208",106796
Audi,A6,82.06,7.73,199.73,2790.45,diesel,"15,146","85,861","5,507",106514
Kia,Picanto,16.59,5.0,52.85,998.0,petrol,"64,725","36,803","3,857",105385
Toyota,Aygo,,,,,,,,,
Nissan,Note,19.32,5.0,66.43,1348.29,diesel,"41,756","54,195","5,908",101859
Seat,Leon,32.94,6.35,114.82,1615.37,petrol,"30,221","65,505","3,778","99,504"
Jaguar,XE,65.57,8.0,167.25,1998.0,petrol,"13,946","79,176","3,968","97,090"
Ford,Fusion,19.38,4.86,61.27,1470.91,petrol,"41,027","51,517","4,395","96,939"
Honda,Accord,39.4,5.78,117.71,2151.65,petrol,"15,889","74,157","5,274","95,320"
Mazda,MX-5,37.47,5.86,103.43,1718.57,petrol,"39,519","47,900","5,986","93,405"
Mazda,6,42.67,5.91,118.19,2095.19,petrol,"17,216","71,632","4,536","93,384"
Citroen,C1,13.49,5.0,52.38,1028.92,petrol,"57,228","30,691","4,503","92,422"
Suzuki,Swift,19.09,3.73,68.91,1180.55,petrol,"49,829","34,918","6,070","90,817"
Ford,Galaxy,53.79,6.0,124.86,1855.0,diesel,"24,893","60,515","5,151","90,559"
Ford,,,,,,,,,,
Peugeot,308,32.33,5.89,103.11,1482.5,petrol,"36,010","50,045","4,024","90,079"
Mazda,3,31.0,5.79,101.89,1905.63,peatrol,"32,724","52,309","4,647","89,680"
Audi,TT,64.59,6.78,178.56,2011.56,petrol,"37,950","45,707","5,714","89,371"
Renault,Laguna,34.02,5.55,99.0,1920.03,diesel,"16,346","66,613","3,850","86,809"
Mazda,2,21.6,6.0,64.62,1496.0,petrol,"51,314","29,852","5,032","86,198"
Fiat,Panda,10.42,5.0,52.44,1095.78,petrol,"42,772","34,789","4,671","82,232"
Toyota,Auris,26.97,3.08,85.69,1515.28,petrol,"30,032","47,251","4,747","82,030"
Peugeot,306,18.64,4.84,67.0,1698.64,petrol,"26,596","50,801","3,897","81,294"
Peugeot,106,12.36,4.65,53.88,1366.29,petrol,"35,920","41,148","3,722","80,790"
,106,,4.65,,1366.29,,,"41,148",,
Volvo,V70,50.96,6.18,135.29,1971.16,diesel,"14,323","59,903","4,431","78,657"
Citroen,Saxo,12.33,4.82,53.82,1367.27,petrol,"33,281","38,039","3,354","74,674"
Volkswagen,Touran,32.99,6.23,94.04,1528.81,diesel,"24,181","41,330","4,531","70,042"
Volkswagen,Beetle,33.25,6.17,112.75,1475.0,petrol,"48,750","16,475","4,776","70,001"
Kia,Rio,22.96,6.29,80.0,998.0,petrol,"28,881","36,610","2,239","67,730"
Ford,C-MAX,32.18,6.0,99.0,1448.6,petrol,"22,899","39,067","2,336","64,302"
BMW,X5,113.27,8.0,246.33,2994.67,diesel,"14,588","45,819","3,268","63,675"
Nissan,Juke,28.23,6.45,86.0,999.0,petrol,"32,045","24,663","5,707","62,415"
Suzuki,Vitara,26.8,5.43,85.71,1310.0,petrol,"23,094","34,682","3,559","61,335"
Kia,Ceed,26.98,5.86,88.09,1460.8,petrol,"20,296","37,398","1,991","59,685"
Peugeot,406,28.61,4.76,92.82,2043.82,peatrol,"9,985","46,504","2,693","59,182"
Hyundai,Getz,13.64,4.71,69.0,1424.86,petrol,"31,656","24,389","2,947","58,992"
Nissan,X-Trail,47.36,3.75,113.38,1774.81,diesel,"14,753","41,540","2,532","58,825"
Mercedes,CLK,72.8,6.21,166.32,3041.0,petrol,"16,438","38,415","3,538","58,391"
Volvo,S40,35.28,5.18,113.35,2106.5,petrol,"13,625","41,358","3,194","58,177"
Rover,75,39.35,5.0,98.05,1928.71,petrol,"8,060","46,997","2,388","57,445"
Citroen,Berlingo,27.44,6.34,85.28,1452.0,diesel,"16,005","37,450","2,902","56,357"
Suzuki,Alto,9.56,4.6,50.0,996.0,petrol,"30,777","21,062","4,330","56,169"
