Unnamed: 0,Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
0,Ford,Focus,30.61932203,5.966101695,-94.03389831,1497.169492,petrol,422731,814172,"56,487",1293390
1,Ford,Fiesta,18.53214286,5000.714285714,68.57142857,1166.142857,petrol,631666,554879,"54,057",1240602
2,Volkswagen,Golf,31.24215385,6.164835165,-89.46153846,1537.406593,petrol,310604,483216,"47,563",841383
3,Renault,Clio,22.1,5.615384615,75.57692308,1219.653846,petrol,312556,241287,"28,004",581847
4,BMW,320i,47.84837037,6.444444444,126.1111111,1995.777778,petrol,115843,408016,"29,125",552984
5,Volkswagen,Polo,18.1925,5.074074074,60.96296296,1408.055556,petrol,299110,216333,"31,701",547144
6,Peugeot,206,20.03375,4.833333333,71.33333333,1631.5,petrol,250614,178698,"26,135",455447
7,Ford,Mondeo,39.97375,1.75,130.25,1998.5,petrol,"69,603",357452,"16,550",443605
8,Nissan,Micra,20.3776087,4.869565217,67.95652174,1279.695652,petrol,253000,143218,"26,619",422837
9,Honda,Civic,29.942625,4.5,106.225,1480.575,petrol,132958,242188,"21,042",396188
10,Ford,Ka+,15.46,5.0,60.8,1196.0,petrol,269428,102708,"20,324",392460
11,Renault,Megane,26.4498867,5.408866995,87.31034483,1623.793103,petrol,156607,209379,"21,049",387035
12,Toyota,Yaris,20.7206,3.52,74.4,1397.8,petrol,214944,137907,"27,670",380521
13,Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,"69,373",209476,"17,242",296091
14,Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,petrol,"59,936",202037,"13,629",275602
15,Volkswagen,Passat,46.06451282,6.487179487,125.4358974,1835.846154,petrol,"48,599",211510,"14,505",274614
16,Honda,Jazz,26.3525,0.0,80.0,1498.0,petrol,136875,105551,"15,698",258124
17,Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,petrol,"97,033",144962,"14,460",256455
18,Peugeot,307,27.46483636,4.872727273,86.45454545,1723.0,petrol,108991,132728,"14,395",256114
19,Peugeot,207,21.70216667,4.9,79.76666667,1536.0,petrol,138839,"99,472","13,442",251753
20,Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.44186,petrol,"87,029",145377,"11,519",243925
21,Skoda,Fabia,19.00794118,5.205882353,66.97058824,1292.352941,petrol,"87,532",109408,"10,776",207716
22,BMW,118i,37.4265,6.2,104.2,1796.6,petrol,"87,660",103719,"11,806",203185
23,Ford,Focus,,,,,,,,,
24,Land-Rover,Freelander,43.86363077,5.292307692,105.1692308,2083.523077,diesel,"59,369",118279,"9,921",187569
25,Citroen,C3,22.90364865,5.405405405,75.64864865,1364.0,petrol,"98,254","78,551","9,893",186698
26,Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,petrol,"67,184",104996,"12,042",184222
27,BMW,535i,93.71425,8.0,225.0,2979.0,petrol,"21,302",138584,"9,443",169329
28,Toyota,Avensis,37.31523077,4.323076923,103.6769231,1873.261538,petrol,"29,728",123806,"9,574",163108
29,Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,petrol,"24,029",125070,"9,465",158564
30,Renault,Scenic,32.06304348,5.956521739,89.34782609,1472.826087,diesel,"62,467","85,989","8,346",156802
31,Seat,Ibiza,19.93814035,5.649122807,76.31578947,1205.192982,petrol,"73,895","74,717","6,282",154894
32,Seat,Ibiza,,,,,,,,,
33,Land-Rover,Discovery,107.4521429,80000.0,182.5714286,2425.428571,diesel,"29,981",112207,"6,388",148576
34,Land-Rover,Range,107.6705126,8.277310924,196.3361345,2521.092437,diesel,"34,079",107520,"6,847",148446
35,Nissan,Qashqai+2,34.93603125,5.25,97.71875,1820.65625,diesel,"56,539","79,290","8,830",144659
36,Skoda,Octavia,30.65053846,6.346153846,95.0,1136.692308,petrol,"25,662",110428,"6,147",142237
37,Fiat,500L,26.29166667,5.6,74.73333333,1186.333333,diesel,102113,"30,349","8,177",140639
38,Mercedes,A,31.1045119,4.547619048,93.01190476,1699.119048,petrol,"68,928","55,510","9,727",134165
39,Nissan,Almera,22.78208333,4.916666667,81.66666667,1847.666667,petrol,"44,706","78,034","7,892",130632
40,Citroen,C4,29.26025,5.95,90.625,1462.3625,petrol,"42,130","79,604","5,547",127281
41,Citroen,C5,290050.26025,5.95,0.12,1462.3625,petrol,"42,130","79,604","5,547",127281
42,Citroen,C6,2.26025,7.95,70600.12,1462.3625,petrol,"42,130","79,604","5,547",127281
43,Mini,Two,3.56025,5.95,80120.12,1462.3625,petrol,"42,130","79,604","5,547",127281
44,Mini,One,24.09525,6.25,68.75,1498.25,petrol,"87,974","29,548","7,427",124949
45,Toyota,RAV4,43.54851613,1.35483871,137.7741935,2261.193548,petrol,"54,005","59,395","8,166",121566
46,Toyota,RAV5,4.354851613,1.35483871,5370354.7741935,2261.193548,petrol,"54,005","59,395","8,166",121566
47,Saab,9-3X,49.28583333,6.0,145.0,1963.666667,petrol,"27,948","84,741","6,616",119305
48,Peugeot,107,11.14333333,5.0,50.0,998.0,petrol,"73,891","32,821","5,917",112629
49,Toyota,Aygo,15.20916667,5.0,53.0,998.0,petrol,"66,147","33,395","7,814",107356
50,Hyundai,I10,16.011,5.0,51.77777778,998.0,petrol,"63,346","39,242","4,208",106796
51,Hyundai,I11,1.6011,5.0,517777.7778,998.0,petrol,"63,346","39,242","4,208",106796
52,Audi,A6,82.06090909,7.727272727,199.7272727,2790.454545,diesel,"15,146","85,861","5,507",106514
53,Kia,Picanto,16.59192308,5.0,52.84615385,998.0,petrol,"64,725","36,803","3,857",105385
54,Toyota,Aygo,,,,,,,,,
55,Nissan,Note,19.31857143,5.0,66.42857143,1348.285714,diesel,"41,756","54,195","5,908",101859
56,Seat,Leon,32.93965169,6.348314607,114.8202247,1615.370787,petrol,"30,221","65,505","3,778","99,504"
57,Jaguar,XE,65.56875,8.0,167.25,1998.0,petrol,"13,946","79,176","3,968","97,090"
58,Ford,Fusion,19.37890909,4.863636364,61.27272727,1470.909091,petrol,"41,027","51,517","4,395","96,939"
59,Honda,Accord,39.39984314,5.784313725,117.7058824,2151.647059,petrol,"15,889","74,157","5,274","95,320"
60,Mazda,MX-5,37.46857143,5.857142857,103.4285714,1718.571429,petrol,"39,519","47,900","5,986","93,405"
61,Mazda,6,42.66935185,5.907407407,118.1851852,2095.185185,petrol,"17,216","71,632","4,536","93,384"
62,Citroen,C1,13.48615385,5.0,52.38461538,1028.923077,petrol,"57,228","30,691","4,503","92,422"
63,Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,petrol,"49,829","34,918","6,070","90,817"
64,Ford,Galaxy,53.78571429,6.0,124.8571429,1855.0,diesel,"24,893","60,515","5,151","90,559"
65,Ford,,,,,,,,,,
66,Peugeot,308,32.33086957,5.891304348,103.1086957,1482.5,petrol,"36,010","50,045","4,024","90,079"
67,Mazda,3,30.99513158,5.789473684,101.8947368,1905.631579,peatrol,"32,724","52,309","4,647","89,680"
68,Audi,TT,64.59222222,6.777777778,178.5555556,2011.555556,petrol,"37,950","45,707","5,714","89,371"
69,Renault,Laguna,34.02059211,5.552631579,99.0,1920.026316,diesel,"16,346","66,613","3,850","86,809"
70,Mazda,2,21.6,6.0,64.625,1496.0,petrol,"51,314","29,852","5,032","86,198"
71,Fiat,Panda,10.42388889,5.0,52.44444444,1095.777778,petrol,"42,772","34,789","4,671","82,232"
72,Toyota,Auris,26.97346154,3.076923077,85.69230769,1515.282051,petrol,"30,032","47,251","4,747","82,030"
73,Peugeot,306,18.64264,4.84,67.0,1698.64,petrol,"26,596","50,801","3,897","81,294"
74,Peugeot,106,12.35588235,4.647058824,53.88235294,1366.294118,petrol,"35,920","41,148","3,722","80,790"
75,,106,,4.647058824,,1366.294118,,,"41,148",,
76,Volvo,V70,50.96109091,6.181818182,135.2909091,1971.163636,diesel,"14,323","59,903","4,431","78,657"
77,Citroen,Saxo,12.32981818,4.818181818,53.81818182,1367.272727,petrol,"33,281","38,039","3,354","74,674"
78,Volkswagen,Touran,32.98557692,6.230769231,94.03846154,1528.807692,diesel,"24,181","41,330","4,531","70,042"
79,Volkswagen,Beetle,33.25025,6.166666667,112.75,1475.0,petrol,"48,750","16,475","4,776","70,001"
80,Kia,Rio,22.95871429,6.285714286,80.0,998.0,petrol,"28,881","36,610","2,239","67,730"
81,Ford,C-MAX,32.1815,6.0,99.0,1448.6,petrol,"22,899","39,067","2,336","64,302"
82,BMW,X5,113.2693333,8.0,246.3333333,2994.666667,diesel,"14,588","45,819","3,268","63,675"
83,Nissan,Juke,28.23090909,6.454545455,86.0,999.0,petrol,"32,045","24,663","5,707","62,415"
84,Suzuki,Vitara,26.803,5.428571429,85.71428571,1310.0,petrol,"23,094","34,682","3,559","61,335"
85,Kia,Ceed,26.97522727,5.863636364,88.09090909,1460.795455,petrol,"20,296","37,398","1,991","59,685"
86,Peugeot,406,28.60820513,4.756410256,92.82051282,2043.820513,peatrol,"9,985","46,504","2,693","59,182"
87,Hyundai,Getz,13.63642857,4.714285714,69.0,1424.857143,petrol,"31,656","24,389","2,947","58,992"
88,Nissan,X-Trail,47.361875,3.75,113.375,1774.8125,diesel,"14,753","41,540","2,532","58,825"
89,Mercedes,CLK,72.79589474,6.210526316,166.3157895,3041.0,petrol,"16,438","38,415","3,538","58,391"
90,Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,petrol,"13,625","41,358","3,194","58,177"
91,Rover,75,39.35238095,5.0,98.04761905,1928.714286,petrol,"8,060","46,997","2,388","57,445"
92,Citroen,Berlingo,27.4386,6.34,85.28,1452.0,diesel,"16,005","37,450","2,902","56,357"
93,Suzuki,Alto,9.5628,4.6,50.0,996.0,petrol,"30,777","21,062","4,330","56,169"
94,Nissan,Primera,26.51269565,4.02173913,93.58695652,1933.021739,petrol,"11,421","41,096","3,286","55,803"
95,Hyundai,I20,21.847,6.090909091,70.72727273,1052.272727,peatrol,"26,745","26,734","2,019","55,498"
96,Mercedes,SLK,61.86283333,6.833333333,184.1666667,2748.333333,petrol,"25,424","24,741","3,794","53,959"
97,Ford,S-MAX,47.52333333,6.0,128.8888889,1886.555556,diesel,"17,823","31,973","2,374","52,170"
